FileName	Creator(s)	OriginalDataURI	License	LicenseURI	Change
Amazing_Grace.txt	John Newton	https://en.wikipedia.org/wiki/Amazing_Grace	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	None
Amazing_Grace.mid	Anonymous(Traditional)	https://en.wikiversity.org/wiki/Sing_free/Amazing_Grace#G_major	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	None
Annie_Laurie.txt	Willianm Douglass; John Scott	https://www.cpdl.org/wiki/images/f/fe/21_Annie_Laurie.pdf	2008 Creative Commons Public Domain Dedication(USA).	https://creativecommons.org/publicdomain/list/	None
Annie_Laurie.mid	Scotch Tune; John Scott	https://www.cpdl.org/wiki/images/f/fe/21_Annie_Laurie.pdf	2008 Creative Commons Public Domain Dedication(USA).	https://creativecommons.org/publicdomain/list/	None
Auld_Lang_Syne.txt	Robert Burns	https://en.wikipedia.org/wiki/Auld_Lang_Syne	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	None
Auld_Lang_Syne.mid	Scotch Air	https://www.cpdl.org/wiki/images/2/24/37_Auld_Lang_Syne.pdf	2008 Creative Commons Public Domain Dedication(USA).	https://creativecommons.org/publicdomain/list/	None
Danny_Boy.txt	Frederic Edward Weatherly	https://en.wikipedia.org/wiki/Danny_Boy	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	None
Danny_Boy.mid	Irish air	https://en.wikipedia.org/wiki/Londonderry_Air	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	None
Greensleeves.txt	Anonymous; but sometimes attributed to Henry VIII	https://www.cpdl.org/wiki/index.php/Greensleeves_(Anonymous)	CPDL License	https://www.cpdl.org/wiki/index.php/ChoralWiki:CPDL	None
Greensleeves.mid	Anonymous(Traditional)	https://www.cpdl.org/wiki/index.php/Greensleeves	CPDL License	https://www.cpdl.org/wiki/index.php/ChoralWiki:CPDL	None
Greensleeves_Guitar.txt	Traditional; David Kastrup	https://www.mutopiaproject.org/ftp/Traditional/greensleeves_guitar/greensleeves_guitar-a4.pdf	2014 by David Kastrup-Mutopia	https://creativecommons.org/licenses/by-sa/4.0/	None
Greensleeves_Guitar.mid	Traditional; David Kastrup	https://www.mutopiaproject.org/ftp/Traditional/greensleeves_guitar/greensleeves_guitar-a4.pdf	2014 by David Kastrup-Mutopia	https://creativecommons.org/licenses/by-sa/4.0/	None
Loch_Lomond_SATB.txt	Old Scotch Song; Edited by Adriano Secco	http://www.adrianoseccomusic.it/arrang/SATB/lochlomond.pdf	2004 by Choral Public Domain Library	https://www.cpdl.org/wiki/index.php/ChoralWiki:CPDL	None
Loch_Lomond_SATB.mid	Old Scotch Song; Edited by Adriano Secco	http://www.adrianoseccomusic.it/arrang/SATB/lochlomond.pdf	2004 by Choral Public Domain Library	https://www.cpdl.org/wiki/index.php/ChoralWiki:CPDL	None
Menuet_bwv_anh114.txt					
Menuet_bwv_anh114.mid	Christian Pezold	https://imslp.org/wiki/Minuet_in_G_major,_BWV_Anh.114_(Pezold,_Christian)#214481	Creative Commons Attribution Non-commercial Share Alike 3.0 	https://imslp.org/wiki/IMSLP:Creative_Commons_Attribution_Non-commercial_Share_Alike_3.0	None
Salley_Gardens_SATB.txt	William Butler Yeats.	https://www.cpdl.org/wiki/images/1/13/CPDL-Sally_Gardens.pdf	CPDL License	https://www.cpdl.org/wiki/index.php/ChoralWiki:CPDL	None
Salley_Gardens_SATB.mid	Traditional Irish folksong; Arranged by John Christensen	https://www.cpdl.org/wiki/images/1/13/CPDL-Sally_Gardens.pdf	CPDL License	https://www.cpdl.org/wiki/index.php/ChoralWiki:CPDL	None
Scarborough_Fair_SATB.txt	Irish Traditional; Arranged and edited by Adriano Secco	http://www.adrianoseccomusic.it/arrang/SATB/scarboro.pdf	2006 by Choral Public Domain Library	https://www.cpdl.org/wiki/index.php/ChoralWiki:CPDL	None
Scarborough_Fair_SATB.mid	Irish Traditional; Arranged and edited by Adriano Secco	http://www.adrianoseccomusic.it/arrang/SATB/scarboro.pdf	2006 by Choral Public Domain Library	https://www.cpdl.org/wiki/index.php/ChoralWiki:CPDL	None
The_Last_Rose_of_Summer.txt	Thomas Moore	https://www.mutopiaproject.org/ftp/MooreT/lrose/lrose-a4.pdf	Public Domain	https://creativecommons.org/publicdomain/list/	None
The_Last_Rose_of_Summer.mid	J. Stevenson	https://www.mutopiaproject.org/ftp/MooreT/lrose/lrose-a4.pdf	Public Domain	https://creativecommons.org/publicdomain/list/	None
Twinkle_Twinkle_Little_Star.txt	Jane Taylor	https://en.wikipedia.org/w/index.php?oldid=1073758323#Origins	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	None
Twinkle_Twinkle_Little_Star.mid	Anonymous(Traditional)	https://en.wikiversity.org/wiki/Sing_free/Twinkle	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0/	None
